Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Blunt Rochester	Lisa		E	DE00	2025	1/21/2025	8220725
	Bohannan	Christina		X	IA01	2025	7/15/2025	30025310
	Bonck	Jon		C	TX02	2025	7/14/2025	10071784
	Bostic	Vance		C	NY08	2025	9/23/2025	10072461
	Bowlby	Judy		X	IL15	2025	9/29/2025	30025442
	Boykin	Richard		C	IL07	2025	8/8/2025	10072056
	Bracht	Blake		C	AZ05	2025	7/12/2025	10071768
	Braun	John		X	WA03	2025	9/8/2025	9115637
Hon.	Bresnahan	Rob		G	PA08	2025	4/14/2025	8220832
Hon.	Bresnahan	Rob		P	PA08	2025	2/13/2025	20024346
Hon.	Bresnahan	Rob		P	PA08	2025	3/7/2025	20027923
Hon.	Bresnahan	Rob		P	PA08	2025	3/10/2025	20027940
Hon.	Bresnahan	Rob		P	PA08	2025	3/27/2025	20029034
Hon.	Bresnahan	Rob		P	PA08	2025	4/9/2025	20029055
Hon.	Bresnahan	Rob		P	PA08	2025	4/22/2025	20030212
Hon.	Bresnahan	Rob		P	PA08	2025	4/28/2025	20030238
Hon.	Bresnahan	Rob		P	PA08	2025	5/8/2025	20030291
Hon.	Bresnahan	Rob		P	PA08	2025	5/11/2025	20030312
Hon.	Bresnahan	Rob		P	PA08	2025	5/12/2025	20030336
Hon.	Bresnahan	Rob		P	PA08	2025	5/31/2025	20030433
Hon.	Bresnahan	Rob		P	PA08	2025	6/9/2025	20030482
Hon.	Bresnahan	Rob		P	PA08	2025	6/23/2025	20030546
Hon.	Bresnahan	Rob		P	PA08	2025	7/8/2025	20030635
Hon.	Bresnahan	Rob		P	PA08	2025	8/25/2025	20030857
Hon.	Bresnahan	Rob		P	PA08	2025	8/29/2025	20030998
	Briarwood	Zelda		C	NC11	2025	7/31/2025	10071947
	Briem	Margaret Elizabeth		X	OH13	2025	9/3/2025	30025396
	Brink	Bridget		X	MI07	2025	7/15/2025	30025256
	Brink	Bridget		X	MI07	2025	9/8/2025	30025410
	Bristow	Nigel William		C	NC09	2025	5/15/2025	10068989
	Bronin	Luke		X	CT01	2025	8/25/2025	30025387
	Brooks	Bob		X	PA07	2025	9/29/2025	30025447
	Brothers	Jennifer M.		C	PA09	2025	7/2/2025	10067921
	Brothers	Jennifer M.		D	PA09	2025	7/7/2025	40004798
	Brown	Tedora M.		C	IL11	2025	8/31/2025	10070371
	Brown	Tedora M.		X	IL11	2025	6/4/2025	30024009
	Brungardt	Kenneth Francis	Jr.	X	ID01	2025	8/5/2025	30025337
	Buccola	Samuel		W	NJ09	2025	8/1/2025	8020
	Buccola	Samuel		W	NJ09	2025	8/1/2025	8021
	Buchwald	Jon		X	TX24	2025	7/22/2025	30025317
	Buck	Carrie		X	NV01	2025	8/25/2025	30025382
	Bucshon	Larry D.		T	IN08	2025	2/28/2025	10063365
	Buford	James		C	TX06	2025	9/23/2025	10072531
	Bulso	Gino		C	TN07	2025	9/19/2025	10072413
	Burge	Kevin Beryl		C	TX24	2025	6/14/2025	10070395
Hon.	Burgess	Michael C.		T	TX26	2025	2/2/2025	10063293
	Burnett	Christopher Michael		C	MD06	2025	7/13/2025	10071740
	Butierez	Daniel		C	AZ07	2025	5/20/2025	10069099
	Butierez	Daniel		X	AZ07	2025	5/22/2025	30023919
Hon.	Bynum	Janelle		X	OR05	2025	5/9/2025	8220862
	Byors	Jason		D	CA41	2025	5/19/2025	40004770
	Cable	Conrad Roberts		C	LA04	2025	9/28/2025	10071903
	Cable	Conrad Roberts		X	LA04	2025	8/5/2025	30025339
	Cain	Briscoe Rowell	III	X	TX09	2025	9/24/2025	30025426
	Calvarese	Trisha		C	CO04	2025	6/3/2025	10070423
	Campbell	Shelby N.		C	MI13	2025	8/14/2025	10072211
	Canchola	Sonia		W	TX01	2025	8/1/2025	8023
Hon.	Caraveo	Yadira		C	CO08	2025	8/13/2025	10072002
Hon.	Caraveo	Yadira		T	CO08	2025	5/3/2025	10063260
Hon.	Caraveo	Yadira		X	CO08	2025	1/13/2025	30022470
Hon.	Caraveo	Yadira		X	CO08	2025	6/2/2025	8221115
	Carbonara	Michael		C	FL25	2025	9/3/2025	10072284
Hon.	Cárdenas	Tony		T	CA29	2025	1/31/2025	10063335
	Carjuzaa	Nicolas		X	CA08	2025	9/8/2025	30025413
Hon.	Carl	Jerry Lee		T	AL01	2025	1/31/2025	10063337
	Carrasco	Aimee		C	TX32	2025	9/7/2025	10072336
Hon.	Carter	Earl Leroy		P	GA01	2025	3/6/2025	20027913
Hon.	Carter	Earl Leroy		P	GA01	2025	4/23/2025	20030215
Hon.	Carter	Earl Leroy		P	GA01	2025	7/8/2025	20030632
	Cartwright	Jasen D.		C	MI09	2025	3/9/2025	10063490
	Cartwright	Jasen D.		X	MI09	2025	3/19/2025	30022512
Hon.	Cartwright	Matt		T	PA08	2025	5/1/2025	10063287
Hon.	Cartwright	Matt		X	PA08	2025	1/20/2025	30022476
	Cavanaugh	John		X	NE02	2025	6/26/2025	30025211
	Cephas	Morgan		X	PA03	2025	9/24/2025	30025424
Mr.	Cerreta	Damon Lawrence		C	CT04	2025	5/5/2025	10063510
	Chakalian	Paul		C	CA23	2025	8/12/2025	10070381
	Chakalian	Paul		X	CA23	2025	5/9/2025	8220864
	Chakrabarti	Saikat		C	CA11	2025	8/13/2025	10063516
	Chakrabarti	Saikat		X	CA11	2025	3/24/2025	30022517
	Chapin	Doug		X	MN06	2025	8/21/2025	30025373
	Chatzky	Peter		X	NY17	2025	6/30/2025	30025229
	Chatzky	Peter S		C	NY17	2025	9/22/2025	10071648
	Christian	Jerrad Shane		C	OH12	2025	1/9/2025	10063243
Hon.	Chu	Judy		P	CA28	2025	8/30/2025	20031001
	Chung	Eric		C	MI10	2025	8/28/2025	10070332
	Chung	Eric		X	MI10	2025	5/28/2025	30024004
Hon.	Cisneros	Gilbert		P	CA31	2025	2/11/2025	20026726
Hon.	Cisneros	Gilbert		P	CA31	2025	3/6/2025	20027891
Hon.	Cisneros	Gilbert		P	CA31	2025	4/7/2025	20029026
Hon.	Cisneros	Gilbert		P	CA31	2025	5/6/2025	20030288
Hon.	Cisneros	Gilbert		P	CA31	2025	6/6/2025	20030461
Hon.	Cisneros	Gilbert		P	CA31	2025	7/10/2025	20030634
Hon.	Cisneros	Gilbert		P	CA31	2025	8/14/2025	20030901
Hon.	Cisneros	Gilbert		P	CA31	2025	9/12/2025	20031022
Hon.	Cisneros	Gilbert		X	CA31	2025	4/16/2025	30022697
	Clark	Wyatt Bronson		C	MI09	2025	6/9/2025	10070485
	Clayton	David		C	NC05	2025	5/20/2025	10070266
	Cleveland	Russell Tyler		C	MT01	2025	6/12/2025	10068097
	Cleveland	Russell Tyler		D	MT01	2025	5/19/2025	40004774
	Coghill	Morgan		C	IL10	2025	6/12/2025	10070382
Hon.	Cohen	Steve		P	TN09	2025	1/10/2025	20026548
Hon.	Cohen	Steve		P	TN09	2025	4/1/2025	20028025
Hon.	Cohen	Steve		P	TN09	2025	5/28/2025	20030416
Hon.	Cohen	Steve		P	TN09	2025	9/12/2025	20031011
	Cole	Brian		X	NH01	2025	8/25/2025	30025383
	Coleman	Calvin L.		C	IL02	2025	6/5/2025	10069218
	Coleman	Tayhlor		X	TX10	2025	6/2/2025	8221030
	Coleman	Tayhlor		X	TX10	2025	7/15/2025	8221187
	Colin	Loren		D	CA34	2025	3/3/2025	40003720
Hon.	Collins	Michael A.		P	GA10	2025	1/1/2025	20026489
Hon.	Collins	Michael A.	Jr	P	GA10	2025	2/2/2025	20026696
Hon.	Collins	Michael A.	Jr	P	GA10	2025	2/21/2025	20027820
Hon.	Collins	Michael A.	Jr	P	GA10	2025	3/12/2025	20027962
Hon.	Collins	Michael A.	Jr	P	GA10	2025	4/11/2025	20029130
Hon.	Collins	Michael A.	Jr	P	GA10	2025	5/1/2025	20029131
Hon.	Collins	Michael A.	Jr	P	GA10	2025	6/2/2025	20030439
Hon.	Collins	Michael A.	Jr	P	GA10	2025	6/5/2025	20030466
Hon.	Collins	Michael A.	Jr	P	GA10	2025	7/7/2025	20030622
Hon.	Collins	Michael A.	Jr	P	GA10	2025	7/19/2025	20030692
Hon.	Collins	Michael A.	Jr	P	GA10	2025	9/2/2025	20031007
Hon.	Comer	James		P	KY01	2025	1/10/2025	20018054
Hon.	Comer	James		P	KY01	2025	2/11/2025	20026750
Hon.	Comer	James		P	KY01	2025	8/11/2025	20030716
	Compton	William Dakota		C	KY02	2025	2/19/2025	10063398
	Conforti	Niki		C	IL06	2025	5/13/2025	10068252
	Congress	Junaid		C	IL08	2025	8/1/2025	10071786
	Conley	Cait		C	NY17	2025	8/12/2025	10068477
	Conley	Cait		X	NY17	2025	5/22/2025	30023625
Hon.	Connolly	Gerald E.		P	VA11	2025	2/6/2025	20026724
Hon.	Connolly	Gerald E.		P	VA11	2025	5/17/2025	20030388
	Conroy	Carmela		C	WA05	2025	5/15/2025	10068358
	Conroy	Eric		C	OH01	2025	8/14/2025	10072059
	Cooke	Rebecca		C	WI03	2025	3/27/2025	10063539
	Cooper	Stuart		A	TN07	2025	9/12/2025	10072422
	Cooper	Stuart		C	TN07	2025	9/5/2025	10072286
	Cooper	Stuart		X	TN07	2025	8/25/2025	30025389
	Coover	Don		X	KS02	2025	9/29/2025	30025446
	Copeland	Darden Hunter		C	TN07	2025	9/8/2025	10072215
	Copeland	Darden Hunter		X	TN07	2025	8/21/2025	30025376
	Cortese	Mike		C	TN05	2025	8/6/2025	10072006
	Cortez	Joshua		X	TX34	2025	8/12/2025	30025354
	Coughlin	Kevin		C	OH13	2025	8/12/2025	10067263
	Coughlin	Kevin		X	OH13	2025	5/7/2025	30023034
	Courts	Theresa		C	TX38	2025	9/22/2025	10072517
	Couvillon	Sam		C	GA09	2025	6/13/2025	10069135
	Couvillon	Sam		X	GA09	2025	5/22/2025	30023942
	Cowen	Josh		C	MI07	2025	8/20/2025	10072262
	Crabtree	Casey		C	SD00	2025	8/20/2025	10072034
	Crabtree	Casey		X	SD00	2025	8/12/2025	30025362
	Cramer	Cyle		X	MN08	2025	7/15/2025	30025286
Hon.	Crank	Jeffrey		G	CO05	2025	4/2/2025	8220822
	Criswell	Jefferson Edward		C	GA14	2025	6/13/2025	10070411
	Croisant	John Thomas		A	OK01	2025	3/13/2025	10063536
	Croisant	John Thomas		C	OK01	2025	3/10/2025	10063329
	Croisant	John Thomas		D	OK01	2025	3/3/2025	40003719
	Crosby	Peter		D	UT01	2025	9/17/2025	40004828
	Crosson	Rick		C	WI08	2025	9/8/2025	10072394
	Crosswell	Ryan		C	PA07	2025	8/7/2025	10071714
	Crosswell	Ryan		X	PA07	2025	7/15/2025	30025259
Ms.	Crump	Laverne Barlette		D	TX18	2025	5/16/2025	8220946
	Cuellar	Ada		X	TX15	2025	8/21/2025	30025375
Hon.	Curtis	John		E	UT03	2025	1/17/2025	40003709
	Daniel	Theodis		X	TX18	2025	9/16/2025	30025419
	Daniels	Sholdon		X	TX30	2025	6/4/2025	30024010
Mr.	Davenport	Keith		C	NC06	2025	8/11/2025	10072113
	Davey	Michael		C	FL27	2025	7/11/2025	10071672
	Davidson	Beth		C	NY17	2025	8/16/2025	10063522
	Davidson	Beth		X	NY17	2025	6/2/2025	8220992
	Davis	Chance		A	TX18	2025	4/29/2025	10066969
	Davis	Chance		A	TX18	2025	7/14/2025	10071787
	Davis	Chance		A	TX18	2025	7/30/2025	10071943
	Davis	Chance		C	TX18	2025	3/21/2025	10063579
	Davis	Chance		D	TX18	2025	4/3/2025	8220833
	Davis	Mark		C	FL06	2025	9/2/2025	10072361
Dr.	Davis	Paul R.	Jr.	D	IL15	2025	8/1/2025	40004811
Dr.	Davis	Paul R.	Jr.	X	IL15	2025	7/8/2025	30025252
	Davis	Thomas Eugene		C	TN04	2025	5/14/2025	10068457
	Davis	Thomas Eugene		X	TN04	2025	5/22/2025	30023592
Mr.	Dawson	Dave Alan		C	IA04	2025	9/14/2025	10072387
	Day	Matt		X	GA01	2025	9/24/2025	30025432
	De Barros	Jonathan		C	CT05	2025	5/13/2025	10068127
Ms.	Decio	Jamee		X	IN02	2025	9/24/2025	30025435
	Deford	William Mac		X	SC01	2025	9/3/2025	30025393
Hon.	Delaney	April McClain		P	MD06	2025	3/20/2025	20027975
Hon.	Delaney	April McClain		P	MD06	2025	4/2/2025	20029059
Hon.	Delaney	April McClain		P	MD06	2025	5/2/2025	20030265
Hon.	Delaney	April McClain		P	MD06	2025	6/2/2025	20030442
Hon.	Delaney	April McClain		P	MD06	2025	7/2/2025	20030592
Hon.	Delaney	April McClain		P	MD06	2025	8/5/2025	20030832
Hon.	Delaney	April McClain		P	MD06	2025	9/2/2025	20031013
Hon.	DelBene	Suzan K.		P	WA01	2025	2/9/2025	20026602
Hon.	DelBene	Suzan K.		P	WA01	2025	2/25/2025	20027807
Hon.	DelBene	Suzan K.		P	WA01	2025	3/26/2025	20027999
Hon.	DelBene	Suzan K.		P	WA01	2025	4/10/2025	20029070
Hon.	DelBene	Suzan K.		P	WA01	2025	5/7/2025	20030289
Hon.	DelBene	Suzan K.		P	WA01	2025	6/8/2025	20030444
Hon.	DelBene	Suzan K.		P	WA01	2025	6/24/2025	20030541
Hon.	DelBene	Suzan K.		P	WA01	2025	7/17/2025	20030619
Hon.	DelBene	Suzan K.		P	WA01	2025	8/9/2025	20030826
Hon.	DelBene	Suzan K.		P	WA01	2025	8/29/2025	20030955
Hon.	DelBene	Suzan K.		P	WA01	2025	9/28/2025	20032102
	Denoble	Damjan		D	CT03	2025	8/6/2025	40004816
	Desmond	Jim		C	CA49	2025	2/3/2025	10063358
Hon.	D'Esposito	Anthony P.		T	NY04	2025	1/28/2025	10063320
	Diallo	Oumou		D	KY03	2025	8/1/2025	40004815
	Diaz	Max Eliot		C	SC01	2025	9/8/2025	10072395
	Dickerson	Trevor		C	AZ06	2025	4/23/2025	10066642
Hon.	Dingell	Debbie		P	MI06	2025	1/27/2025	20026647
Hon.	Dingell	Debbie		P	MI06	2025	4/2/2025	20029053
	Dixon	Arthur		C	CA34	2025	6/3/2025	10070424
	Dixon	Case		C	AL06	2025	8/14/2025	10067541
	Dixon	Case		X	AL06	2025	5/14/2025	30023156
Hon.	Doggett	Lloyd		P	TX37	2025	1/8/2025	20026535
Hon.	Doggett	Lloyd		P	TX37	2025	3/10/2025	20027935
Hon.	Doggett	Lloyd		P	TX37	2025	4/7/2025	20029088
Hon.	Doggett	Lloyd		P	TX37	2025	5/5/2025	20030285
Hon.	Doggett	Lloyd		P	TX37	2025	6/4/2025	20030454
Hon.	Doggett	Lloyd		P	TX37	2025	7/7/2025	20030618
Hon.	Doggett	Lloyd		P	TX37	2025	8/4/2025	20030820
Hon.	Donalds	Byron		P	FL19	2025	2/10/2025	20026712
Hon.	Donalds	Byron		P	FL19	2025	3/25/2025	20027903
Hon.	Donalds	Byron		P	FL19	2025	4/14/2025	20029092
Hon.	Donalds	Byron		P	FL19	2025	5/24/2025	20030342
Hon.	Donalds	Byron		P	FL19	2025	9/5/2025	20032038
	Donat	Chris		X	AZ06	2025	5/22/2025	30023893
Dr.	Douglass	Eugene Farley Dr		C	NC02	2025	5/3/2025	10067240
	Dowell	Steven Clay	Jr.	X	TX31	2025	9/16/2025	30025421
	Driver	Anthony	Jr.	A	IL07	2025	9/17/2025	10072489
	Driver	Anthony	Jr.	C	IL07	2025	9/13/2025	10072439
Hon.	Duncan	Jeff		T	SC03	2025	1/22/2025	10063270
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2025	3/10/2025	20027895
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2025	4/3/2025	20029068
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2025	8/13/2025	20030735
	Dunung	Sanjyot		C	IL08	2025	9/8/2025	10072380
	Dunung	Sanjyot		X	IL08	2025	6/12/2025	8221146
	Durant	Tara Anne		X	VA07	2025	8/5/2025	30025341
	Duresky	John		D	WA04	2025	5/19/2025	40004769
	Durham	Kathy L.		D	NV02	2025	9/17/2025	40004829
	Duvieilh	Candice		C	AL05	2025	9/23/2025	10072541
	Edwards	Amanda		C	TX18	2025	7/30/2025	10064628
	Edwards	Amanda		X	TX18	2025	4/18/2025	30022546
	Edwards	Travis		C	TX05	2025	8/2/2025	10067868
	Edwards	Travis		X	TX05	2025	5/22/2025	30023999
	Ehr	Phillip		C	FL28	2025	6/3/2025	10070409
	Eisele	Kevin		C	CA02	2025	9/3/2025	10072267
	Eisner	Michael		X	OH07	2025	7/15/2025	30025298
	Ekpete Kama	Uloma		C	GA03	2025	5/4/2025	10067241
	Elkind	Liam		X	NY12	2025	9/4/2025	9115634
Hon.	Eshoo	Anna G.		T	CA16	2025	1/28/2025	8220728
	Esparza	Juan		C	TX28	2025	5/17/2025	10067556
	Esparza	Juan		X	TX28	2025	5/22/2025	30023619
Dr.	Esti	Kelly		C	GA08	2025	8/15/2025	10072223
	Ethington	Nicole Lee		C	KY04	2025	5/14/2025	10068536
Hon.	Evans	Dwight		P	PA03	2025	4/2/2025	20029062
Hon.	Evans	Dwight		P	PA03	2025	4/17/2025	20030179
	Farnham	Elizabeth Rhoads		C	PA13	2025	2/15/2025	10063389
	Farnsworth	Tyler Scott		D	UT02	2025	7/7/2025	40004799
	Farooqi	Aisha		X	MI11	2025	9/16/2025	30025420
	Feely	Thomas James		C	AZ05	2025	8/20/2025	10069137
	Feely	Thomas James		X	AZ05	2025	5/22/2025	30023943
Hon.	Ferguson	Anderson Drew	IV	T	GA03	2025	1/29/2025	10063324
	Ferreira	Lindsey Marie		C	OH01	2025	4/17/2025	10066237
	Fields	Cleo		P	LA06	2025	3/14/2025	20027855
	Fields	Cleo		P	LA06	2025	7/1/2025	20030472
	Fields	Cleo		P	LA06	2025	8/6/2025	20030803
	Fields	Cleo		P	LA06	2025	9/3/2025	20031017
Mrs.	Fine	Laura Beth		C	IL09	2025	7/9/2025	10071727
Hon.	Fine	Randy		X	FL06	2025	4/30/2025	30022941
Dr.	Fisher	Thomas		X	IL07	2025	9/3/2025	30025404
	Fitzgerald	Edward O'Donnell		C	OH07	2025	9/22/2025	10072270
	Fitzgerald	Edward O'Donnell		D	OH07	2025	9/22/2025	9115659
	Fitzgerald	Edward O'Donnell		D	OH07	2025	9/23/2025	40004846
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2025	2/10/2025	8220753
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2025	5/13/2025	8220902
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2025	8/15/2025	9115670
	Flores	Eric		X	TX34	2025	8/12/2025	30025361
Hon.	Flores	Mayra Nohemi		C	TX28	2025	8/13/2025	10069128
Hon.	Flores	Mayra Nohemi		X	TX28	2025	5/22/2025	30023937
	Follmer	Adam		C	WI01	2025	7/28/2025	10071911
Hon.	Fong	Vince		G	CA20	2025	3/10/2025	8220794
	Fontaine	Shohreh Y.		D	FL06	2025	1/29/2025	40003715
	Ford	La Shawn K.		X	IL07	2025	6/18/2025	30024204
	Foreman	George Edward	IV	C	TX18	2025	8/22/2025	10072066
	Forgie	Adam Robert		C	PA12	2025	3/5/2025	10063470
	Fornino	Alexander		C	FL27	2025	6/10/2025	10070505
	Forte	Tina		C	NY14	2025	4/29/2025	10066935
	Fortune	Ruth R.		C	CT01	2025	7/31/2025	10071856
Hon.	Foxx	Virginia		P	NC05	2025	1/6/2025	20026516
Hon.	Foxx	Virginia		P	NC05	2025	3/3/2025	20027876
Hon.	Foxx	Virginia		P	NC05	2025	4/4/2025	20029061
Hon.	Foxx	Virginia		P	NC05	2025	6/3/2025	20030450
Hon.	Foxx	Virginia		P	NC05	2025	7/3/2025	20030587
Hon.	Foxx	Virginia		P	NC05	2025	9/8/2025	20032040
	France	Eric S.		X	IL02	2025	6/18/2025	30025204
Hon.	Franklin	Scott Scott		P	FL18	2025	2/23/2025	20027834
Hon.	Franklin	Scott Scott		P	FL18	2025	3/18/2025	20027995
Hon.	Franklin	Scott Scott		P	FL18	2025	4/11/2025	20029132
Hon.	Franklin	Scott Scott		P	FL18	2025	4/17/2025	20030187
Hon.	Franklin	Scott Scott		P	FL18	2025	6/2/2025	20030445
Hon.	Franklin	Scott Scott		P	FL18	2025	7/3/2025	20030494
Hon.	Franklin	Scott Scott		P	FL18	2025	7/14/2025	20030670
Hon.	Franklin	Scott Scott		P	FL18	2025	7/31/2025	20030778
Hon.	Franklin	Scott Scott		P	FL18	2025	8/14/2025	20030918
	Frazier	Maxwell		C	HI01	2025	9/19/2025	10072501
